pathogen_name,pathogen_type,frequency_hz,disease_count,associated_diseases,target_organs
Streptococcus sp.,Bacterie,"368,150",18,"GAT — FARINGITA; Faringita streptococică; Endocardita bacteriană; REUMATISM; Endocardita bacteriană (streptococi viridans sau enterococi); Endocardita Infecțioasă; Pneumonie toxoplasmică; BOLILE COPILĂRIEI — SCARLATINA; Pneumonie, bronșiectazii și abces pulmonar; FARINGITA; Reumatismul articular acut; Pneumonie cauzată de Haemophilus influenzae; Endocardita gonococică; Scarlatina; BRONHOPNEUMONIE; Tuse și pneumonie; Reumatism articular acut; Infecții pulmonare (e.g., pneumonie, aspergiloză)",tympanic cavity; bronchi; cutis; membrana synovalis; renes; myocardium; blood; mitrai valve; pulma; larynx; pharynx; auditory ossicle; cartilago comp.; endocardium; cochlea; tuba auditiva; cor
Beta Streptococcus,Necunoscut,bacterie,9,"Faringita streptococică; Sindromul streptococic asemănător șocului toxic; BOLILE COPILĂRIEI — SCARLATINA; Erizipel; FARINGITA; Fasciita necrozantă; Scarlatina; Infecții cutanate (Impetigo, erizipel, celulită); Erizipeloidul (Infecții de la pești sau carne contaminată)",muscle; cutis; renes; blood; larynx; pharynx; cor
Streptococcus pyogenes (dinte),373,375.3,10,"Faringita streptococică; Sindromul streptococic asemănător șocului toxic; BOLILE COPILĂRIEI — SCARLATINA; Erizipel; FARINGITA; Fasciita necrozantă; Scarlatina; Impetigo; Infecții cutanate (Impetigo, erizipel, celulită); Erizipeloidul (Infecții de la pești sau carne contaminată)",muscle; cutis; renes; blood; larynx; pharynx; cor
Ascaris larve in plamani,408,409.15,9,TUSE; Sindromul de apnee în somn; BOLILE COPILĂRIEI — TUSEA MĂGĂREASCĂ; TUSE CONVULSIVĂ; Dispnee; Tuse și pneumonie; Hipopnee și dispnee în somn; Tuse și Hemoptizie; Tusea convulsivă (Bordetella pertussis),erythrocutes; bronchi; trachea; blood; pulma; pharynx; cor
Herpes Zoster si Varicela,Virus,"416,600",11,VARICE; Herpes Zoster (Zona Zoster); Herpes zoster; Varice; Herpes zoster oftalmic; Varicela (la gazde imunocompetente și imunodeprimate); BOLILE COPILĂRIEI — VARICELA; Herpes Zoster; ENCEFALITA; Herpes Zoster Oftalmic; VARICELA,cutis; grt. saph. vein; conjunctiva; veins; occipital cerebrum; cerebrum totalis; crystalline lens; cornea; frontal cerebrum; vitreous body
Herpes zoster,Necunoscut,virus,11,VARICE; Herpes Zoster (Zona Zoster); Herpes zoster; Varice; Herpes zoster oftalmic; Varicela (la gazde imunocompetente și imunodeprimate); BOLILE COPILĂRIEI — VARICELA; Herpes Zoster; ENCEFALITA; Herpes Zoster Oftalmic; VARICELA,cutis; grt. saph. vein; conjunctiva; veins; occipital cerebrum; cerebrum totalis; crystalline lens; cornea; frontal cerebrum; vitreous body
Ciguatera / Gambier discus toxina,☠️ Toxină,toxina,13,"Diareea osmotică; Diareea cronică; Diareea secretorie; DIAREEA CALATORULUI; BRADICARDIE; Diareea artificială (abuz de laxative, autoindusă); Diaree, Constipație și Malabsorbție; Diareea datorată medicației (AINS, laxative, antibiotice); DIAREE; Diareea acută; Diareea inflamatorie; INTESTINE — DIAREE; Diareea indusă de malabsorbția acizilor biliari (colecistectomie, boli ileale)",duodenum; ductus choledochus; vesica fellea; myocardium; tumica mucosa coli; colon; ileum; fasciculus atriov.; ductuli biliferi; jejunum; cor
Bacterial capsules (capsular strain),Bacterie,"416,050",11,"Meningită cronică; MENINGITĂ; Pneumonie toxoplasmică; Pneumonie, bronșiectazii și abces pulmonar; Meningită acută și encefalită; Meningită bacteriană cu Haemophilus influenzae; Pneumonie cauzată de Haemophilus influenzae; BRONHOPNEUMONIE; Tuse și pneumonie; Infecții neurologice (e.g., meningită, abces cerebral); Infecții pulmonare (e.g., pneumonie, aspergiloză)",tympanic cavity; bronchi; pia mater encephali; occipital cerebrum; pulma; cerebrum totalis; dura mater encephali; frontal cerebrum; cochlea; tuba auditiva; auditory ossicle
Enterobacter aerogenes,Bacterie,"374,000",11,"Infecții urinare; Infecții; Infecții urinare și renale; Pneumonie toxoplasmică; Pneumonie, bronșiectazii și abces pulmonar; Infecții nosocomiale; Pneumonie cauzată de Haemophilus influenzae; BRONHOPNEUMONIE; Tuse și pneumonie; Septicemie bacteriană; Infecții pulmonare (e.g., pneumonie, aspergiloză)",erythrocutes; tympanic cavity; bronchi; renes; lymph; blood; cor; pulma; vesies urinaria; tuba auditiva; auditory ossicle; cochlea
"Staphylococcus, viruses and bacteria",Bacterie,4.932.483,20,"Infecții produse de Aeromonas și Plesiomonas; Infecții cu Herpesvirusurile Umane 6 și 7 (HHV-6, HHV-7); Infecții meningococice și listerioza; Infecții anaerobe mixte; Tuse și pneumonie; Infecții; Infecții stafilococice; Pneumonie, bronșiectazii și abces pulmonar; Pneumonie cauzată de Haemophilus influenzae; Infecții sistemice și sepsis (e.g., bacteriemie, fungemie); Infecții virale (ex. Hepatita B, C); Infecții de transmitere sexuală și ale aparatului reproducător; Infecții osoase și articulare (e.g., osteomielită); Pneumonie toxoplasmică; Infecții urinare și renale; Infecții virale (ex.: HIV); Infecții ale pielii, țesuturilor moi, articulațiilor și oaselor; BRONHOPNEUMONIE; Faringite bacteriene și virale; Infecții pulmonare (e.g., pneumonie, aspergiloză)",bronchi; uterus; uterine cervix; prostata; renes; os; cor; mucosa nasalis; dura mater encephali; cartilago comp.; pia mater encephali; blood; peritonaeum; vesies urinaria; hepar; auditory ossicle; vagina; tympanic cavity; membrana synovalis; pharynx; nos. kpl. sinusitis; cochlea; tuba auditiva; erythrocutes; cutis; lymph; pulma; bones; tonsillae palatinae
Bacteria capsule (tulpina capsulara),417.5,418.75,8,"Meningita bacteriană; Pneumonie toxoplasmică; Pneumonie, bronșiectazii și abces pulmonar; Pneumonie cauzată de Haemophilus influenzae; Meningita bacteriană acută; BRONHOPNEUMONIE; Tuse și pneumonie; Infecții pulmonare (e.g., pneumonie, aspergiloză)",tympanic cavity; bronchi; pia mater encephali; occipital cerebrum; pulma; cerebrum totalis; dura mater encephali; frontal cerebrum; cochlea; tuba auditiva; auditory ossicle
Bacterial capsules,360,"357,600",11,"Meningită cronică; MENINGITĂ; Pneumonie toxoplasmică; Pneumonie, bronșiectazii și abces pulmonar; Meningită acută și encefalită; Meningită bacteriană cu Haemophilus influenzae; Pneumonie cauzată de Haemophilus influenzae; BRONHOPNEUMONIE; Tuse și pneumonie; Infecții neurologice (e.g., meningită, abces cerebral); Infecții pulmonare (e.g., pneumonie, aspergiloză)",tympanic cavity; bronchi; pia mater encephali; occipital cerebrum; pulma; cerebrum totalis; dura mater encephali; frontal cerebrum; cochlea; tuba auditiva; auditory ossicle
Chromobacterium violaceum,Necunoscut,bacterie,9,"Infecții cutanate (e.g., celulită, ecthyma gangrenosum); Tuse și pneumonie; Infecții; Pneumonie toxoplasmică; Pneumonie, bronșiectazii și abces pulmonar; Pneumonie cauzată de Haemophilus influenzae; BRONHOPNEUMONIE; Infecții cutanate (Impetigo, erizipel, celulită); Infecții pulmonare (e.g., pneumonie, aspergiloză)",erythrocutes; tympanic cavity; bronchi; cutis; lymph; blood; pulma; cochlea; tuba auditiva; auditory ossicle
Enterobacter aerogenes (bacterie intestinala),374,374,11,"Infecții urinare; Infecții; Infecții urinare și renale; Pneumonie toxoplasmică; Pneumonie, bronșiectazii și abces pulmonar; Infecții nosocomiale; Pneumonie cauzată de Haemophilus influenzae; BRONHOPNEUMONIE; Tuse și pneumonie; Septicemie bacteriană; Infecții pulmonare (e.g., pneumonie, aspergiloză)",erythrocutes; tympanic cavity; bronchi; renes; lymph; blood; cor; pulma; vesies urinaria; tuba auditiva; auditory ossicle; cochlea
Enterobacter aerogenes – bacterie intestinală,374,374,11,"Infecții urinare; Infecții; Infecții urinare și renale; Pneumonie toxoplasmică; Pneumonie, bronșiectazii și abces pulmonar; Infecții nosocomiale; Pneumonie cauzată de Haemophilus influenzae; BRONHOPNEUMONIE; Tuse și pneumonie; Septicemie bacteriană; Infecții pulmonare (e.g., pneumonie, aspergiloză)",erythrocutes; tympanic cavity; bronchi; renes; lymph; blood; cor; pulma; vesies urinaria; tuba auditiva; auditory ossicle; cochlea
Enterobacter cloacae,Necunoscut,"290,000",10,"Infecții urinare; Infecții; Infecții urinare și renale; Pneumonie toxoplasmică; Pneumonie, bronșiectazii și abces pulmonar; Infecții nosocomiale; Pneumonie cauzată de Haemophilus influenzae; BRONHOPNEUMONIE; Tuse și pneumonie; Infecții pulmonare (e.g., pneumonie, aspergiloză)",erythrocutes; tympanic cavity; bronchi; renes; lymph; blood; pulma; vesies urinaria; tuba auditiva; auditory ossicle; cochlea
Kinegeua pulmonar endocardit,Necunoscut,bacterie,6,"Pneumonie toxoplasmică; Pneumonie, bronșiectazii și abces pulmonar; Pneumonie cauzată de Haemophilus influenzae; BRONHOPNEUMONIE; Tuse și pneumonie; Infecții pulmonare (e.g., pneumonie, aspergiloză)",tympanic cavity; bronchi; pulma; cochlea; tuba auditiva; auditory ossicle
Staphylococcus aureus (cultura),Necunoscut,380.85,12,"Endocardita bacteriană; Sindromul streptococic asemănător șocului toxic; Endocardita bacteriană (streptococi viridans sau enterococi); Endocardita Infecțioasă; Osteomielita acută și cronică; Pneumonie toxoplasmică; Pneumonie, bronșiectazii și abces pulmonar; Pneumonie cauzată de Haemophilus influenzae; Endocardita gonococică; BRONHOPNEUMONIE; Tuse și pneumonie; Infecții pulmonare (e.g., pneumonie, aspergiloză)",tympanic cavity; bronchi; cutis; renes; os; periosteum; myocardium; mitrai valve; blood; pulma; bones; auditory ossicle; endocardium; cochlea; tuba auditiva; cor
Adenovirus,Virus,"393,000",22,GAT — FARINGITA; Conjunctivita neonatală gonococică; Faringita streptococică; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); ENTERITA; Cistita Hemoragică; CONJUNCTIVITA; Pneumonia; Pneumonia eozinofilică; Conjunctivita cu incluzii (C. trachomatis); Conjunctivita cu incluzii a adultului (C. trachomatis serotipurile D-K); Bronșita cronică; Pneumonia de hipersensibilizare; GASTROENTERITA; Pneumonia streptococică; Pneumonia cu pulberi organice (exemplu: sporii de ciuperci); Pneumonia cu Pneumocystis carinii; Pneumonia cu C. pneumoniae; CISTITA; FARINGITA; Pneumonia infantilă (C. trachomatis); Pneumonia severă,duodenum; bronchi; cardia; pylorus; conjunctiva; pulma; crystalline lens; ileum; jejunum; cornea; larynx; pharynx; ventriculus; vesies urinaria; vitreous body
Adenovirus 12 (Gliadina),Virus,8.426.644,22,GAT — FARINGITA; Conjunctivita neonatală gonococică; Faringita streptococică; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); ENTERITA; Cistita Hemoragică; CONJUNCTIVITA; Pneumonia; Pneumonia eozinofilică; Conjunctivita cu incluzii (C. trachomatis); Conjunctivita cu incluzii a adultului (C. trachomatis serotipurile D-K); Bronșita cronică; Pneumonia de hipersensibilizare; GASTROENTERITA; Pneumonia streptococică; Pneumonia cu pulberi organice (exemplu: sporii de ciuperci); Pneumonia cu Pneumocystis carinii; Pneumonia cu C. pneumoniae; CISTITA; FARINGITA; Pneumonia infantilă (C. trachomatis); Pneumonia severă,duodenum; bronchi; cardia; pylorus; conjunctiva; pulma; crystalline lens; ileum; jejunum; cornea; larynx; pharynx; ventriculus; vesies urinaria; vitreous body
Adenovirus D5 (VEGA),Virus,8.654.546,22,GAT — FARINGITA; Conjunctivita neonatală gonococică; Faringita streptococică; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); ENTERITA; Cistita Hemoragică; CONJUNCTIVITA; Pneumonia; Pneumonia eozinofilică; Conjunctivita cu incluzii (C. trachomatis); Conjunctivita cu incluzii a adultului (C. trachomatis serotipurile D-K); Bronșita cronică; Pneumonia de hipersensibilizare; GASTROENTERITA; Pneumonia streptococică; Pneumonia cu pulberi organice (exemplu: sporii de ciuperci); Pneumonia cu Pneumocystis carinii; Pneumonia cu C. pneumoniae; CISTITA; FARINGITA; Pneumonia infantilă (C. trachomatis); Pneumonia severă,duodenum; bronchi; cardia; pylorus; conjunctiva; pulma; crystalline lens; ileum; jejunum; cornea; larynx; pharynx; ventriculus; vesies urinaria; vitreous body
Adenovirus sierotipo 37,Virus,9.659.749,22,GAT — FARINGITA; Conjunctivita neonatală gonococică; Faringita streptococică; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); ENTERITA; Cistita Hemoragică; CONJUNCTIVITA; Pneumonia; Pneumonia eozinofilică; Conjunctivita cu incluzii (C. trachomatis); Conjunctivita cu incluzii a adultului (C. trachomatis serotipurile D-K); Bronșita cronică; Pneumonia de hipersensibilizare; GASTROENTERITA; Pneumonia streptococică; Pneumonia cu pulberi organice (exemplu: sporii de ciuperci); Pneumonia cu Pneumocystis carinii; Pneumonia cu C. pneumoniae; CISTITA; FARINGITA; Pneumonia infantilă (C. trachomatis); Pneumonia severă,duodenum; bronchi; cardia; pylorus; conjunctiva; pulma; crystalline lens; ileum; jejunum; cornea; larynx; pharynx; ventriculus; vesies urinaria; vitreous body
Branhamella (Neisseria) catarrhalis,Bacterie,"394,900",7,Bronșita cronică; Sinuzita fungică invazivă; Pneumonia; Pneumonia cu pulberi organice (exemplu: sporii de ciuperci); Pneumonia cu Pneumocystis carinii; Pneumonia cu C. pneumoniae; Otita medie (C. trachomatis),tympanic cavity; bronchi; nos. kpl. sinusitis; mem. max. sinus; pulma; mucosa nasalis; mem. frontal sinus; cochlea; tuba auditiva; auditory ossicle
Adenovirus (din Ascaris omorât),393,393,22,GAT — FARINGITA; Conjunctivita neonatală gonococică; Faringita streptococică; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); ENTERITA; Cistita Hemoragică; CONJUNCTIVITA; Pneumonia; Pneumonia eozinofilică; Conjunctivita cu incluzii (C. trachomatis); Conjunctivita cu incluzii a adultului (C. trachomatis serotipurile D-K); Bronșita cronică; Pneumonia de hipersensibilizare; GASTROENTERITA; Pneumonia streptococică; Pneumonia cu pulberi organice (exemplu: sporii de ciuperci); Pneumonia cu Pneumocystis carinii; Pneumonia cu C. pneumoniae; CISTITA; FARINGITA; Pneumonia infantilă (C. trachomatis); Pneumonia severă,duodenum; bronchi; cardia; pylorus; conjunctiva; pulma; crystalline lens; ileum; jejunum; cornea; larynx; pharynx; ventriculus; vesies urinaria; vitreous body
Adenovirus 33,Necunoscut,"302,500",22,GAT — FARINGITA; Conjunctivita neonatală gonococică; Faringita streptococică; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); ENTERITA; Cistita Hemoragică; CONJUNCTIVITA; Pneumonia; Pneumonia eozinofilică; Conjunctivita cu incluzii (C. trachomatis); Conjunctivita cu incluzii a adultului (C. trachomatis serotipurile D-K); Bronșita cronică; Pneumonia de hipersensibilizare; GASTROENTERITA; Pneumonia streptococică; Pneumonia cu pulberi organice (exemplu: sporii de ciuperci); Pneumonia cu Pneumocystis carinii; Pneumonia cu C. pneumoniae; CISTITA; FARINGITA; Pneumonia infantilă (C. trachomatis); Pneumonia severă,duodenum; bronchi; cardia; pylorus; conjunctiva; pulma; crystalline lens; ileum; jejunum; cornea; larynx; pharynx; ventriculus; vesies urinaria; vitreous body
Adenovirus 36 (în Echinostoma revol.),Necunoscut,"7.737.808,93",22,GAT — FARINGITA; Conjunctivita neonatală gonococică; Faringita streptococică; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); ENTERITA; Cistita Hemoragică; CONJUNCTIVITA; Pneumonia; Pneumonia eozinofilică; Conjunctivita cu incluzii (C. trachomatis); Conjunctivita cu incluzii a adultului (C. trachomatis serotipurile D-K); Bronșita cronică; Pneumonia de hipersensibilizare; GASTROENTERITA; Pneumonia streptococică; Pneumonia cu pulberi organice (exemplu: sporii de ciuperci); Pneumonia cu Pneumocystis carinii; Pneumonia cu C. pneumoniae; CISTITA; FARINGITA; Pneumonia infantilă (C. trachomatis); Pneumonia severă,duodenum; bronchi; cardia; pylorus; conjunctiva; pulma; crystalline lens; ileum; jejunum; cornea; larynx; pharynx; ventriculus; vesies urinaria; vitreous body
Bordetella pertussis,Necunoscut,"329,850",4,Pneumonia; TUSE; Bronșita cronică; Tusea convulsivă (Bordetella pertussis),trachea; bronchi; pulma
Bordetella pertussis (tuse convulsiva),331,332.25,4,Pneumonia; TUSE; Bronșita cronică; Tusea convulsivă (Bordetella pertussis),trachea; bronchi; pulma
Bordetella pertussis – tuse convulsivă (dinte),331,332.25,4,Pneumonia; TUSE; Bronșita cronică; Tusea convulsivă (Bordetella pertussis),trachea; bronchi; pulma
Obesity virus (Adenovirus 36),Necunoscut,virus,22,GAT — FARINGITA; Conjunctivita neonatală gonococică; Faringita streptococică; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); ENTERITA; Cistita Hemoragică; CONJUNCTIVITA; Pneumonia; Pneumonia eozinofilică; Conjunctivita cu incluzii (C. trachomatis); Conjunctivita cu incluzii a adultului (C. trachomatis serotipurile D-K); Bronșita cronică; Pneumonia de hipersensibilizare; GASTROENTERITA; Pneumonia streptococică; Pneumonia cu pulberi organice (exemplu: sporii de ciuperci); Pneumonia cu Pneumocystis carinii; Pneumonia cu C. pneumoniae; CISTITA; FARINGITA; Pneumonia infantilă (C. trachomatis); Pneumonia severă,duodenum; bronchi; cardia; pylorus; conjunctiva; pulma; crystalline lens; ileum; jejunum; cornea; larynx; pharynx; ventriculus; vesies urinaria; vitreous body
Proteus vulgaris – agent patogen urinar,"413, 336, 328",416.45,3,Litiaza cu struvit; CALCULI RENALI SAU LITIAZA RENALA; INFECTII URINARE,renes; vesies urinaria; ureter
Mycobacterium tuberculosis,Bacterie,"430,550",8,RINICHI — NEFRITĂ; RINICHI (probleme renale); Tuberculoza; TUBERCULOZA; RINICHI — PIETRE LA RINICHI; RINICHI (durere în zona...) (lumbago); CANCER AL GANGLIONILOR (al sistemului limfatic); RINICHI — ANURIE,bronchi; medulla spinalis; renes; lymph; pulma
Mycobacterium tuberculosis (TBC),432,434.2,8,RINICHI — NEFRITĂ; RINICHI (probleme renale); Tuberculoza; TUBERCULOZA; RINICHI — PIETRE LA RINICHI; RINICHI (durere în zona...) (lumbago); CANCER AL GANGLIONILOR (al sistemului limfatic); RINICHI — ANURIE,bronchi; medulla spinalis; renes; lymph; pulma
Mycobacterium tuberculosis bovis,Necunoscut,bacterie,8,RINICHI — NEFRITĂ; RINICHI (probleme renale); Tuberculoza; TUBERCULOZA; RINICHI — PIETRE LA RINICHI; RINICHI (durere în zona...) (lumbago); CANCER AL GANGLIONILOR (al sistemului limfatic); RINICHI — ANURIE,bronchi; medulla spinalis; renes; lymph; pulma
Mycobacterium tuberculosis – tuberculoză,432,434.2,8,RINICHI — NEFRITĂ; RINICHI (probleme renale); Tuberculoza; TUBERCULOZA; RINICHI — PIETRE LA RINICHI; RINICHI (durere în zona...) (lumbago); CANCER AL GANGLIONILOR (al sistemului limfatic); RINICHI — ANURIE,bronchi; medulla spinalis; renes; lymph; pulma
